Feature,Importance
HDF,0.21750716772462497
OSF,0.17774978939201888
PWF,0.12896224319376168
Mechanical Power,0.1048471733303841
TWF,0.10116325912254538
Torque [Nm],0.058840875838214596
Rotational speed [rpm],0.0527517393498643
Wear Rate,0.03990084884576362
Temperature Difference,0.035459162282721585
Thermal Stress,0.033766676402970645
Tool wear [min],0.023637952615910077
Air temperature [K],0.01205297713782747
Process temperature [K],0.008753308641719568
Type,0.004101419522489014
RNF,0.0005054065991841136
